Record Number~Publication Info.~Call No.~Horizon checkouts~Old in-house uses~Checkout Date~Standard No.~Title~CNY
i12461349~Lanham, Md. : Rowman & Littlefield Publishers, c2012.~200.89 C594~~~  -  -    ~9781442208797 (cloth : alk. paper);1442208791 (cloth : alk. paper);9781442208810 (electronic);1442208813 (electronic);9781442208791 (cloth)~Then we'll sing a new song : African influences on America's religious landscape / Mary Ann Clark.~
i12461386~Lanham, Md. : Lexington Books, c2012.~323.092 K53B~~~  -  -    ~9780739165522 (cloth : alk. paper);0739165526 (cloth : alk. paper);9780739165546 (electronic);0739165542 (electronic)~The liberatory thought of Martin Luther King Jr. : critical essays on the philosopher King / edited by Robert E. Birt.~
i12462706~Newark : University of Delaware Press, c2011.~274.3 S762~~~  -  -    ~9781611490343 (alk. paper);1611490340 (alk. paper);9781611490350 (electronic);1611490359 (electronic);9780874130195 (alk. paper);0874130190 (alk. paper)~The tactics of toleration : a refugee community in the age of religious wars / Jesse Spohnholz.~
i12462810~Lanham, Maryland : Lexington Books, ©2012.~201.7 T391~~~  -  -    ~9780739166635 (cloth : alk. paper);0739166638 (cloth : alk. paper);9780739166642 (pbk. : alk. paper);0739166646 (pbk. : alk. paper);9780739166659 (ebook);0739166654 (ebook)~Theology and public philosophy : four conversations / [edited by] Kenneth L. Grasso and Cecilia Rodriguez Castillo.~
i12463139~[New York?] : Joanne Sherrow, 2009.~391.002 S553~~~  -  -    ~9780982634103;0982634102~Vector + raster fun with fashion design. Part 2, Rasters / Joanne Sherrow.~
i12463498~Madison : Fairleigh Dickinson University Press, c2011.~261.08 M741~~~  -  -    ~9781611470567 (cloth);1611470560 (cloth);9781611470574 (electronic);1611470579 (electronic);9780838642733 (alk. paper);083864273X (alk. paper)~Like leaven in the dough : Protestant social thought in Latin America, 1920-1950 / Carlos Mondragon ; translated by Daniel Miller and Ben Post.~
i12463528~Lanham, Md. : Lexington Books, c2010.~202 R288~~~  -  -    ~9780739141892 (cloth : alk. paper);0739141899 (cloth : alk. paper)~Reasonable perspectives on religion / edited by Richard Curtis.~
i12464673~Arlington, TX : Future Horizons Inc., c2012.~618.9285 G753~~~  -  -    ~9781935274605 (pbk.);1935274600 (pbk.)~Different-- not less : inspiring stories of achievement and successful employment from adults with autism, Asperger's, and ADHD / Temple Grandin ; [foreword by Tony Attwood].~
i1246482x~Houston, Tex. : Center for Innovation in Health Facilities, c2000.~690.551 I158~~~  -  -    ~096685571X;9780966855715~ICU 2010, ICU design for the future : a critical care design symposium ... / hosted by Center for Health Systems and Design, Texas A & M University, College Station, Texas ; jointly presented by American Institute of Architects ... [et al.] ; sponsored by Hewlett Packard, Hill-Rom Architectural Products Division ; edited by D. Kirk Hamilton.~
i12465082~New York : PublicAffairs, c2007.~363.25 W341~~~  -  -    ~9781586484385 (pbk.);1586484389 (pbk.)~The Medici conspiracy : the illicit journey of looted antiquities from Italy's tomb raiders to the world's greatest museums / Peter Watson with Cecilia Todeschini.~
i12465112~London ; New York : Routledge, 2013.~384.8 B655~~~  -  -    ~9780415613323 (hbk);0415613329 (hbk);9780415613330 (pbk);0415613337 (pbk);9780203143711 (ebk);020314371X (ebk)~The screenplay business : managing creativity and the film industry / Peter Bloore.~
i12465574~New York : Atlantic Monthly Press ; [Berkeley, Calif.] : Distributed by Publishers Group West, c2012.~303.49 K955~~~  -  -    ~080212030X;9780802120304~Too much magic : wishful thinking, technology, and the fate of the nation / James Howard Kunstler.~
i12465768~Indianapolis, New York, The Bobbs-Merrill Company [1946]~364.162 H858~~~  -  -    ~~Salt mines and castles; the discovery and restitution of looted European art, by Thomas Carr Howe, jr.~
i12466724~Lanham, Md. : Lexington Books, c2012.~307.760917 K12~~~  -  -    ~9780739110010 (cloth : alk. paper);0739110012 (cloth : alk. paper);9780739172223 (electronic);0739172220 (electronic)~Reading the islamic city : discursive practices and legal judgment / Akel Ismail Kahera.~
i12467856~Fortaleza [Brazil] : Edições Demócrito Rocha, 2011.~306.36 M643~~~  -  -    ~9788575295403;8575295403~A luta contra a escravatura e o racismo no Ceará / texto, Tshombe L. Miles ; tradução, Denise Costa.~
i1247230x~Lanham, Md. : Rowman & Littlefield Publishers, c2012.~338.27 B627~~~  -  -    ~9780742556546 (cloth : alk. paper);0742556549 (cloth : alk. paper);9781442216112 (electronic);1442216115 (electronic)~Crude reality : petroleum in world history / Brian C. Black.~
i12473029~Boston : Houghton Mifflin Harcourt, 2013.~508.092 A262I~~~  -  -    ~9780547577678 (hbk.) : $35.00;0547577672 (hbk.)~Louis Agassiz : creator of American science / Christoph Irmscher.~
i12476195~Lanham, Md : Jason Aronson, c2011.~618.928588 H913~~~  -  -    ~9780765708564 (hardback);0765708566 (hardback);9780765708571 (e-book);0765708574 (e-book)~Play therapy and Asperger's syndrome : helping children and adolescents grow, connect, and heal through the art of play / Kevin B. Hull.~
i12476213~Lanham, Md. : Lexington Books, c2010.~200.92 D611~~~  -  -    ~9780739142127 (cloth : alk. paper);0739142127 (cloth : alk. paper);9780739142141 (electronic);0739142143 (electronic)~Disciplining Freud on religion : perspectives from the humanities and social sciences / edited by Gregory Kaplan and William B. Parsons.~
i12478167~Princeton, N.J.  : Princeton University Press, c2009.~276 B147~~~  -  -    ~9780691140261 (hardcover : alk. paper);069114026X (hardcover : alk. paper)~Early Christian books in Egypt / Roger S. Bagnall.~
i12478271~New Haven [Conn.] : Yale University Press, c2013.~211.7 I47J~~~  -  -    ~9780300137255 (clothbound : alk. paper);0300137257 (clothbound : alk. paper)~The great agnostic : Robert Ingersoll and American freethought / Susan Jacoby.~
i12479937~Oxford, U.K. : Oxford University Press, 2012.~152.6 T831~~~  -  -    ~9780199693184 (hbk.);0199693188 (hbk.)~Why humans like to cry : tragedy, evolution and the brain / Michael Trimble.~
i1248006x~Lanham, M.D. : Rowman & Littlefield Publishers, c2008.~277.3 H241~~~  -  -    ~9780742549890 (cloth : alk. paper);0742549895 (cloth : alk. paper)~American evangelicals : a contemporary history of a mainstream religious movement / Barry Hankins.~
i12480095~Lanham, Md. : Rowman & Littlefield Publishers, c2011.~277.3 H342~~~  -  -    ~9780742564732 (cloth : alk. paper);0742564738 (cloth : alk. paper);9780742564756 (electronic);0742564754 (electronic)~Through the storm, through the night : a history of African American Christianity / Paul Harvey.~
i12480204~Princeton : Princeton University Press, c2013.~509.04 M174~~~  -  -    ~9780691139838 (hardback : acid-free paper);0691139830 (hardback : acid-free paper)~The visioneers : how a group of elite scientists pursued space colonies, nanotechnologies, and a limitless future / W. Patrick McCray.~
i12480393~New York : Palgrave Macmillan, 2012.~174.95 M613~~~  -  -    ~9780230338906 (hardback);0230338909 (hardback);40021084033~Prize fight : the race and the rivalry to be the first in science / Morton A . Meyers.~
