Record Number~Publication Info.~Call No.~Horizon checkouts~Old in-house uses~Checkout Date~Standard No.~Title~CNY
i11062514~New York : Random House, c1978.~192 K78~1~~  -  -    ~394500520~Janus : a summing up / Arthur Koestler.~
i11062708~Englewood Cliffs, N.J. : Prentice-Hall, c1987.~627 H991~14~~  -  -    ~133400271~Fundamentals of hydraulic engineering systems.~
i11062769~New York : Peter Bedrick Books, 1987.~204.5 E92~6~~  -  -    ~872260461~Christian legends / George Every.~
i11063105~New York : Macmillan, c1986.~575 C168~5~~  -  -    ~25209205~The river that flows uphill : a journey from the Big Bang to the Big Brain / William H. Calvin.~
i11063257~New York : McGraw-Hill, c1986.~621.366 H447~8~~  -  -    ~70277338~The laser guidebook / Jeff Hecht.~
i11063580~New York : Springer-Verlag, c1978.~512.897 G836M2~0~~  -  -    ~387902848~Multilinear algebra / Werner Greub.~
i11063622~New York : Wiley, c1987.~621.462 M687~9~~  -  -    ~471837008~AC and DC motor control / Gerald A. Moberg.~
i1106366x~Emmaus, Pa. : Rodale Press, c1987.~643.7 L832~5~~  -  -    ~878577181~The low-maintenance house / by Gene Logsdon ; [illustrations by Sally Onopa].~
i11063671~London ; New York : Mansell, 1986, c1987.~363.50941 G248~8~~  -  -    ~720118344~Model housing from the great exhibition to the festival of Britain / S. Martin Gaskell.~
i11063762~[Washington, D.C.] : Washington Program, Annenberg School of Communications ; Boston, Mass. : G.K. Hall, c1987.~384 W798~5~~  -  -    ~0816118515 (G.K. Hall);0816118531 (G.K. Hall : pbk.)~Wired cities : shaping the future of communications / edited by William H. Dutton, Jay G. Blumler, Kenneth L. Kraemer.~
i11063798~New York : M. Dekker, c1986.~670.285 S795~6~~  -  -    ~824775937~What every engineer should know about practical CAD/CAM applications / John Stark.~
i11063919~New York : Wiley, c1986.~621.381735 H889~20~~  -  -    ~471813273~Op amp network design / John R. Hufault.~
i11064237~New York : Van Nostrand Reinhold, c1985.~658.1512 W784~16~~  -  -    ~442292333~A complete guide to preparing a corporate annual report / Elmer L. Winter.~
i11064249~Oxford : Pergamon, 1986.~621.3817 H736I~6~~  -  -    ~0080334717 (cased);0080334709 (pbk)~Integrated circuits and microprocessors / R.C. Holland.~
i11064328~Berkeley, Calif. : Osborne McGraw-Hill, c1988.~651.82 A173~23~~  -  -    ~78812666~WordPerfect : the complete reference / Karen L. Acerson.~
i11064377~New York : Pocket Books, c1966.~332.1094 W386~0~~  -  -    ~~The merchant bankers / Joseph Wechsberg.~
i11064432~San Diego : Harcourt Brace Jovanovich, c1986.~510.1 D257~7~1~  -  -    ~151252602~Descartes' dream : the world according to mathematics / Philip J. Davis, Reuben Hersh.~
i11064511~Charlottesville : University Press of Virginia, 1987.~378.755 V817~4~~  -  -    ~0813911095 (pbk.)~The lawn : a guide to Jefferson's university / Pendleton Hogan ; photographs by Bill Sublette.~
i11064523~Charlottesville : University Press of Virginia, 1987.~378.755 V817~3~~  -  -    ~0813911095 (pbk.)~The lawn : a guide to Jefferson's university / Pendleton Hogan ; photographs by Bill Sublette.~
i11064572~New York : McGraw-Hill, c1986.~621.381958 R615~9~~  -  -    ~70529523~Computer circuit concepts / Saul Ritterman.~
