Record Number,Publication Info.,Call No.,Horizon checkouts,Old in-house uses,Checkout Date,Standard No.,Title,CNY
i12842217,"Lanham, Maryland : Lexington Books, [2013]",201.6 S825,,,  -  -    ,9780739142868 (cloth : alk. paper);0739142860 (cloth : alk. paper);9780739142882 (electronic);0739142887 (electronic);9780739142882 (electronic);40022115089,"Religion, science, and democracy : a disputational friendship / Lisa L. Stenmark.",ONLY PRATT
i12842485,"Lanham, Md. : Lexington Books, ©2012.",261.7097 B787,,,  -  -    ,9780739168745 (cloth : alk. paper);0739168746 (cloth : alk. paper);9780739184233 (paperback);0739184237 (paperback),The garden and the wilderness : church and state in America to 1789 / David Dean Bowlby.,X
i12842497,"Minneapolis : University of Minnesota Press, [2014]",306.484 G487,,,  -  -    ,9780816689279 (hc : alk. paper);081668927X $q (hc : alk. paper);9780816689286 (pb : alk. paper);0816689288 $q (pb : alk. paper);99961329966,Cairo pop : youth music in contemporary Egypt / Daniel J. Gilman.,X
i1284259x,"Lanham : Rowman & Littlefield, [2014]",174.2 G562,,,  -  -    ,9781442232136 (cloth : alk. paper);1442232137 (cloth : alk. paper);9781442232143 (pbk. : alk. paper);1442232145 (pbk. : alk. paper);9781442232150 (electronic),"Global bioethics and human rights : contemporary issues / edited by Wanda Teays, John-Stewart Gordon, and Alison Dundes Renteln.",X
i12842837,"Brooklyn, NY : Melville House, [2015]",027.4741 N532S,,,03-19-2018 21:19:55.0,9781612194295 (hardback);161219429X (hardback);9781612194301 (ebook),"Patience and fortitude : power, real estate, and the fight to save a public library / Scott Sherman.",X
i12843283,"New York, N.Y. (P.O. Box 2627, New York 10009) : Stolen Lives Project, ©1999.",363.232 S875,,,  -  -    ,0967513626;9780967513621,Stolen lives : killed by law enforcement.,ONLY PRATT
i12843453,"Boulder, Colo. : Westview Press, 1998.",305.4201 T665,,,  -  -    ,0813333326 (hardcover);9780813333328 (hardcover);0813332958 (pbk.);9780813332956 (pbk.),Feminist thought : a more comprehensive introduction / Rosemarie Putnam Tong.,X
i1284374x,"Lanham, Maryland : Lexington Books, [2014]",201.7 R382W,,,  -  -    ,9780739185681 (cloth : alk. paper);0739185683 (cloth : alk. paper);9780739185698 (electronic),Religion and terrorism : the use of violence in Abrahamic monotheism / edited by Veronica Ward and Richard Sherlock.,X
i12843763,"Honolulu : University of Hawaiʻi Press, [2016];©2016",297.095 B811,,,  -  -    ,9780824851613 (hardcover : alk. paper);0824851617 (hardcover : alk. paper),Forging Islamic power and place : the legacy of Shaykh Dā'ūd bin 'Abd Allāh al-Faṭānī in Mecca and Southeast Asia / Francis R. Bradley.,X
i12843969,"Los Angeles : J. Paul Getty Museum, ©2011.",391.0902 S428F,,,  -  -    ,9781606060612 (hardcover);1606060619 (hardcover),Fashion in the Middle Ages / Margaret Scott.,X
i12844317,"Stockbridge, Ma. : E.F. Schumacher, 1993.",338.927 U22,,,  -  -    ,,The right livelihood award and further initiatives for a sustainable society / presented by Jakob von Uexkull.,ONLY PRATT
i12844330,"Great Barrington, MA : E.F. Schumacher Society, ©1991.",577.27 B281,,,  -  -    ,,The ecozoic era / presented by Thomas Berry.,ONLY PRATT
i12844342,"Great Barrington, MA : E.F. Schumacher Society, ©1993.",333.72 B877,,,  -  -    ,,It's healing time on earth / presented by David R. Brower.,ONLY PRATT
i12844354,"Great Barrington, MA : E.F. Schumacher Society, ©1991.",304.2 M657,,,  -  -    ,,Making amends to the myriad creatures / Stephanie Mills.,ONLY PRATT
i12844366,"Great Barrington, MA. E.F. Schumacher society, c1990",363.7063 E33,,,  -  -    ,,The management explosion and the next environmental crisis / presented by David Ehrenfeld.,ONLY PRATT
i1284438x,"Great Barrington, Ma. : E.F. Schumacher, 1993.",179.1 H246,,,  -  -    ,,Wagner and the fate of the earth : a contemporary reading of The Ring / by Hunter G. Hannum.,ONLY PRATT
i12845437,"Philadelphia : Joseph and Edward Parker, 1832.",030 E23,,,  -  -    ,,The Edinburgh encyclopaedia / conducted by David Brewster ; with the assistance of gentlemen eminent in science and literature.,
i12845449,"Philadelphia : Joseph and Edward Parker, 1832.",030 E23,,,  -  -    ,,The Edinburgh encyclopaedia / conducted by David Brewster ; with the assistance of gentlemen eminent in science and literature.,
i12846053,"Lanham, Maryland : Lexington Books, [2013]",277.3 U72,,,  -  -    ,9780739168295 (cloth);0739168290 (cloth);9780739168301 (electronic);0739168304 (electronic);9780739168301 (electronic);9781498521055 (paper),Urban God talk : constructing a hip hop spirituality / edited by Andre E. Johnson.,X
i12846193,"London ; New York : Rowman & Littlefield International, [2014]",111.85092 D348I,,,  -  -    ,9781783480319 (cloth : alk. paper);1783480319 (cloth : alk. paper);9781783480326 (pbk. : alk. paper);1783480327 (pbk. : alk. paper);9781783480333 (electronic);40023905029,"Intensities and lines of flight : Deleuze/Guattari and the arts / edited by Antonio Calcagno, Jim Vernon and Steve G. Lofts.",X
i12846351,"Los Angeles : Getty Conservation Institute, ©2011.",667.6 S785,,,  -  -    ,9781606060674 (pbk.);1606060678 (pbk.),"House paints, 1900-1960 : history and use / Harriet A.L. Standeven.",ONLY PRATT
i12846740,"New York : McGraw-Hill, c1988.",598.2974 F241,,,  -  -    ,0070199760 (soft),"Eastern birds / John Farrand, Jr.",X
i12849170,"Boston : Harvard Business School Press, ©2004.",658.404 L948,,,  -  -    ,1591393213 (pbk. : alk. paper);9781591393214 (pbk. : alk. paper),Managing projects large and small : the fundamental skills for delivering on budget and on time.,X
i12849935,"New York : Quantuck Lane Press, ©2003.",378.744 H339H,,,  -  -    ,0971454892;9780971454897,Harvard works because we do / photographs and interviews by Greg Halpern ; foreword by Studs Terkel.,X
i12850573,"Princeton, N.J. : Princeton University Press, ©1989.",686.2094 U84,,,  -  -    ,0691055807;9780691055800,The Culture of print : power and the uses of print in early modern Europe / Alain Boureau [and others] ; edited by Roger Chartier ; translated by Lydia G. Cochrane.,X
i12850688,"New York : Stewart, Tabori & Chang, 2009.",643.7 P693,,,  -  -    ,9781584797869;158479786X,"This green house : home improvements for the eco-smart, the thrifty, and the do-it-yourselfer / Joshua Piven ; illustrations by Owen Sherwood.",X
