Record Number,Publication Info.,Call No.,Horizon checkouts,Old in-house uses,Checkout Date,Standard No.,Title,CNY
i12120546,"Indianapolis, Ind. : Indiana State Museum ; Oakland, Calif. : Oakland Museum, 1983.",684.14 W918,,,  -  -    ,,Wooton patent desks : a place for everything and everything in its place.,
i12120790,"Ravensburg, O. Maier [c1938]",642.7 D777,,,  -  -    ,,"Hausgerät das nicht veraltet, grundsätzliche betrachtungen über die kultur des tischgeräts. Versuch einer geschmackserziehung an beispiel und gegenbeispiel, von Walter Dexel.",ONLY PRATT
i12122816,"New Haven, Conn. : Yale University Press, c1999.",385.0942 F855,,,  -  -    ,0300079702 (cloth : alk. paper);9780300079708 (cloth : alk. paper),Railways and the Victorian imagination / Michal Freeman.,X
i12137157,"New York : Basic Books, c1983.",155.2 L715P,,,  -  -    ,0465054419 (pbk.) : $13.50,"The person, his and her development throughout the life cycle / Theodore Lidz.",X
i12137194,"New York : Norton, 1996,c1988.",616.85836 C866,,,  -  -    ,0393313565 (pbk.);9780393313567 (pbk.),Healing the incest wound : adult survivors in therapy / Christine A. Courtois.,ONLY PRATT
i12137923,"New York : Oxford University Press, 1988, c1978.",323.119607 M911,,,  -  -    ,0195206398;9780195206395,"The golden age of Black nationalism, 1850-1925 / by Wilson Jeremiah Moses.",X
i12142098,"New York, N.Y. : Furman Center for Real Estate and Urban Policy, New York University, 2001-",363.509747 D186,,,  -  -    ,,State of New York City's housing & neighborhoods.,ONLY PRATT
i12142177,"Oxford ; New York : Oxford University Press, 2008.",201.7 J77,,,  -  -    ,9780195335972;019533597X,Blood that cries out from the earth : the psychology of religious terrorism / James W. Jones.,X
i12142517,"New York : Basic Books, 2002.",304.66 P887,,,  -  -    ,0465061508 (alk. paper),A problem from hell : America and the age of genocide / Samantha Power.,X
i12144940,"London : Pimlico, 2002.",355.825115 M744,,,  -  -    ,0712668594 (pbk.);9780712668590 (pbk.),The devil's gardens : a history of landmines / Lydia Monin and Andrew Gallimore.,ONLY PRATT
i12147539,"New York : Broadway Books, c2002.",649.58 H179,,,  -  -    ,0767907760;9780767907767,Parenting a struggling reader / Susan L. Hall and Louisa C. Moats.,X
i12147606,"New York : Russell Sage, c2003.",331.79 L922,,,  -  -    ,0871540258;9780871540256;9780871540266,"Low-wage America : how employers are reshaping opportunity in the workplace / Eileen Appelbaum, Annette Bernhardt, and Richard J. Murnane, editors.",X
i12147667,"New Brunswick, N.J. : Rutgers University Press, c2009.",647.94 G976,,,  -  -    ,9780813544397 (hardcover : alk. paper);0813544394 (hardcover : alk. paper);9780813544403 (pbk. : alk. paper);0813544408 (pbk. : alk. paper),The physiology of New York boarding-houses / Thomas Butler Gunn ; edited and with an introduction by David Faflik.,
i12147758,"Morristown, N.J. : Geraldine R. Dodge Foundation, c2004.",508.97 H673,,,  -  -    ,0970421729;9780970421722,"H2O highlands to ocean, a first close look at the outstanding landscapes and waterscapes of the New York/New Jersey metropolitan region : water, land, air and the 14 regional indicators  / by Tony Hiss and Christopher Meier.",X
i12148556,"New York : Anchor Books, 2005, c2004.",305.42 F324,,,  -  -    ,0679758887 (pbk.);9780679758884 (pbk.),Necessary dreams : ambition in women's changing lives / Anna Fels.,X
i12148659,"Mamaroneck, N.Y. : Albin Press, c1991.",616.8916083 S587,,,  -  -    ,096214293X,"Stimulus drawings and techniques : in therapy, development, and assessment / Rawley A. Silver.",ONLY PRATT
i12148696,"Springfield, Ill., C. C. Thomas [1958]",616.89 H224,,,  -  -    ,,The clinical application of projective drawings.,
i12149433,"New York : Harper, c2009.",306.2091 C699,,,  -  -    ,9780061479632 : $26.99;0061479632,"Wars, guns, and votes : democracy in dangerous places / Paul Collier.",X
